technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,detection_available,detection_notes,NIDS_Classification,NIDS_Reasoning,Network_Artifact
T1588.003,Code Signing Certificates,Adversaries may buy and/or steal code signing certificates that can be used during targeting. Code signing is the process of digitally signing executables and scripts to confirm the software author and guarantee that the code has not been altered or corrupted. Code signing provides a level of authen...,resource-development,PRE,1,1,0,Rare,16.6,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1570,Lateral Tool Transfer,"Adversaries may transfer tools or other files between systems in a compromised environment. Once brought into the victim environment (i.e., [Ingress Tool Transfer](https://attack.mitre.org/techniques/T1105)) files may then be copied from one system to another to stage adversary tools or other files ...",lateral-movement,"ESXi, Linux, macOS, Windows",1,1,0,Rare,15.8,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1021.006,Windows Remote Management,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with remote systems using Windows Remote Management (WinRM). The adversary may then perform actions as the logged-on user.

WinRM is the name of both a Windows service and a protocol that allows a user to int...",lateral-movement,Windows,1,1,0,Rare,15.8,Wizard Spider,Wizard Spider,,False,,YES,Windows Remote Management,"WinRM traffic on ports 5985/5986, HTTP(S) protocol"
T1021,Remote Services,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a service that accepts remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user.

In an enterprise environment, servers and workstations can be organized ...",lateral-movement,"Linux, macOS, Windows, IaaS, ESXi",1,1,0,Rare,15.8,Wizard Spider,Wizard Spider,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1566.003,Spearphishing via Service,Adversaries may send spearphishing messages via third-party services in an attempt to gain access to victim systems. Spearphishing via service is a specific variant of spearphishing. It is different from other forms of spearphishing in that it employs the use of third party services rather than dire...,initial-access,"Linux, macOS, Windows",1,1,0,Rare,14.6,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1195.002,Compromise Software Supply Chain,"Adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise. Supply chain compromise of software can take place in a number of ways, including manipulation of the application source code, manipulation of the update/distribution me...",initial-access,"Linux, Windows, macOS",1,1,0,Rare,14.6,Cobalt Group,Cobalt Group,,False,,NO,Primarily local host-based operations,
T1559.001,Component Object Model,"Adversaries may use the Windows Component Object Model (COM) for local code execution. COM is an inter-process communication (IPC) component of the native Windows application programming interface (API) that enables interaction between software objects, or executable code that implements one or more...",execution,Windows,1,0,1,Rare,14.4,TrickBot,,TrickBot,False,,NO,Primarily local host-based operations,
T1495,Firmware Corruption,"Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system.(Citation: Symantec Chernobyl W95.CIH) Firmware is ...",impact,"Linux, macOS, Network Devices, Windows",1,0,1,Rare,13.2,TrickBot,,TrickBot,False,,NO,Primarily local host-based operations,
T1590.005,IP Addresses,"Adversaries may gather the victim's IP addresses that can be used during targeting. Public IP addresses may be allocated to organizations by block, or a range of sequential addresses. Information about assigned IP addresses may include a variety of details, such as which IP addresses are in use. IP ...",reconnaissance,PRE,1,1,0,Rare,12.2,Andariel,Andariel,,False,,NO,Primarily local host-based operations,
T1591,Gather Victim Org Information,"Adversaries may gather information about the victim's organization that can be used during targeting. Information about an organization may include a variety of details, including the names of divisions/departments, specifics of business operations, as well as the roles and responsibilities of key e...",reconnaissance,PRE,1,1,0,Rare,12.2,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1589.002,Email Addresses,"Adversaries may gather email addresses that can be used during targeting. Even if internal instances exist, organizations may have public-facing email infrastructure and addresses for employees.

Adversaries may easily gather email addresses, since they may be readily available and exposed via onlin...",reconnaissance,PRE,1,1,0,Rare,12.2,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1592.002,Software,"Adversaries may gather information about the victim's host software that can be used during targeting. Information about installed software may include a variety of details such as types and versions on specific hosts, as well as the presence of additional components that might be indicative of adde...",reconnaissance,PRE,1,1,0,Rare,12.2,Andariel,Andariel,,False,,NO,Primarily local host-based operations,
T1590,Gather Victim Network Information,"Adversaries may gather information about the victim's networks that can be used during targeting. Information about networks may include a variety of details, including administrative data (ex: IP ranges, domain names, etc.) as well as specifics regarding its topology and operations.

Adversaries ma...",reconnaissance,PRE,1,1,0,Rare,12.2,Indrik Spider,Indrik Spider,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1091,Replication Through Removable Media,"Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes. In the case of Lateral Movement, this may occur through modification of exec...","lateral-movement, initial-access",Windows,1,0,1,Rare,11.2,QakBot,,QakBot,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1030,Data Transfer Size Limits,An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.,exfiltration,"Linux, macOS, Windows, ESXi",1,0,1,Rare,7.4,Carbanak,,Carbanak,False,,NO,Primarily local host-based operations,
